Time,Afghanistan [AFG],Albania [ALB],Algeria [DZA],American Samoa [ASM],Andorra [AND],Angola [AGO],Antigua and Barbuda [ATG],Argentina [ARG],Armenia [ARM],Aruba [ABW],Australia [AUS],Austria [AUT],Azerbaijan [AZE],"Bahamas, The [BHS]",Bahrain [BHR],Bangladesh [BGD],Barbados [BRB],Belarus [BLR],Belgium [BEL],Belize [BLZ],Benin [BEN],Bermuda [BMU],Bhutan [BTN],Bolivia [BOL],Bosnia and Herzegovina [BIH],Botswana [BWA],Brazil [BRA],British Virgin Islands [VGB],Brunei Darussalam [BRN],Bulgaria [BGR],Burkina Faso [BFA],Burundi [BDI],Cabo Verde [CPV],Cambodia [KHM],Cameroon [CMR],Canada [CAN],Cayman Islands [CYM],Central African Republic [CAF],Chad [TCD],Channel Islands [CHI],Chile [CHL],China [CHN],Colombia [COL],Comoros [COM],"Congo, Dem. Rep. [COD]","Congo, Rep. [COG]",Costa Rica [CRI],Cote d'Ivoire [CIV],Croatia [HRV],Cuba [CUB],Curacao [CUW],Cyprus [CYP],Czech Republic [CZE],Denmark [DNK],Djibouti [DJI],Dominica [DMA],Dominican Republic [DOM],Ecuador [ECU],"Egypt, Arab Rep. [EGY]",El Salvador [SLV],Equatorial Guinea [GNQ],Eritrea [ERI],Estonia [EST],Eswatini [SWZ],Ethiopia [ETH],Faroe Islands [FRO],Fiji [FJI],Finland [FIN],France [FRA],French Polynesia [PYF],Gabon [GAB],"Gambia, The [GMB]",Georgia [GEO],Germany [DEU],Ghana [GHA],Gibraltar [GIB],Greece [GRC],Greenland [GRL],Grenada [GRD],Guam [GUM],Guatemala [GTM],Guinea [GIN],Guinea-Bissau [GNB],Guyana [GUY],Haiti [HTI],Honduras [HND],"Hong Kong SAR, China [HKG]",Hungary [HUN],Iceland [ISL],India [IND],Indonesia [IDN],"Iran, Islamic Rep. [IRN]",Iraq [IRQ],Ireland [IRL],Isle of Man [IMN],Israel [ISR],Italy [ITA],Jamaica [JAM],Japan [JPN],Jordan [JOR],Kazakhstan [KAZ],Kenya [KEN],Kiribati [KIR],"Korea, Dem. People's Rep. [PRK]","Korea, Rep. [KOR]",Kosovo [XKX],Kuwait [KWT],Kyrgyz Republic [KGZ],Lao PDR [LAO],Latvia [LVA],Lebanon [LBN],Lesotho [LSO],Liberia [LBR],Libya [LBY],Liechtenstein [LIE],Lithuania [LTU],Luxembourg [LUX],"Macao SAR, China [MAC]",Madagascar [MDG],Malawi [MWI],Malaysia [MYS],Maldives [MDV],Mali [MLI],Malta [MLT],Marshall Islands [MHL],Mauritania [MRT],Mauritius [MUS],Mexico [MEX],"Micronesia, Fed. Sts. [FSM]",Moldova [MDA],Monaco [MCO],Mongolia [MNG],Montenegro [MNE],Morocco [MAR],Mozambique [MOZ],Myanmar [MMR],Namibia [NAM],Nauru [NRU],Nepal [NPL],Netherlands [NLD],New Caledonia [NCL],New Zealand [NZL],Nicaragua [NIC],Niger [NER],Nigeria [NGA],North Macedonia [MKD],Northern Mariana Islands [MNP],Norway [NOR],Oman [OMN],Pakistan [PAK],Palau [PLW],Panama [PAN],Papua New Guinea [PNG],Paraguay [PRY],Peru [PER],Philippines [PHL],Poland [POL],Portugal [PRT],Puerto Rico [PRI],Qatar [QAT],Romania [ROU],Russian Federation [RUS],Rwanda [RWA],Samoa [WSM],San Marino [SMR],Sao Tome and Principe [STP],Saudi Arabia [SAU],Senegal [SEN],Serbia [SRB],Seychelles [SYC],Sierra Leone [SLE],Singapore [SGP],Sint Maarten (Dutch part) [SXM],Slovak Republic [SVK],Slovenia [SVN],Solomon Islands [SLB],Somalia [SOM],South Africa [ZAF],South Sudan [SSD],Spain [ESP],Sri Lanka [LKA],St. Kitts and Nevis [KNA],St. Lucia [LCA],St. Martin (French part) [MAF],St. Vincent and the Grenadines [VCT],Sudan [SDN],Suriname [SUR],Sweden [SWE],Switzerland [CHE],Syrian Arab Republic [SYR],Tajikistan [TJK],Tanzania [TZA],Thailand [THA],Timor-Leste [TLS],Togo [TGO],Tonga [TON],Trinidad and Tobago [TTO],Tunisia [TUN],Turkey [TUR],Turkmenistan [TKM],Turks and Caicos Islands [TCA],Tuvalu [TUV],Uganda [UGA],Ukraine [UKR],United Arab Emirates [ARE],United Kingdom [GBR],United States [USA],Uruguay [URY],Uzbekistan [UZB],Vanuatu [VUT],"Venezuela, RB [VEN]",Vietnam [VNM],Virgin Islands (U.S.) [VIR],"Yemen, Rep. [YEM]",Zambia [ZMB],Zimbabwe [ZWE]
1984,12204306,2904429,21763578,37946,42706,9614756,61784,29737097,3285593,62826,15544000,7561434,6557581,229913,407233,88416529,255493,9910000,9855372,160341,4156819,56423,451471,6054126,4350566,1031439,132383569,13317,218176,8960679,7531239,4621096,306140,7447844,9757849,25607053,18662,2478382,4957561,132445,12078137,1036825000,29331230,345455,29119663,1996994,2664220,9530103,4680285,10031651,151940,697715,10330213,5111619,406018,73846,6331760,8843463,47968643,4871041,331554,1946299,1518617,675240,39374346,44895,700478,4881803,56337675,172249,805117,725688,4622200,77858685,12405659,29284,9895801,52700,98472,113953,7669863,5326369,851276,775217,6194686,4154864,5397900,10668095,239511,766833411,161523353,45472792,15190396,3532423,63812,4159000,56576718,2306367,120083000,2784457,15483411,19146403,62745,18590142,40405956,1647000,1652150,3916400,3586315,2562047,2638056,1489685,2111667,3746712,27028,3514205,365998,271914,9780869,6964613,15192300,182848,7694857,330593,36564,1730737,1012221,74352631,83192,2840565,28511,1871089,600884,22002641,12636120,37241530,1162282,8331,16477488,14424211,151650,3227100,3642978,6719310,81448757,1974413,25496,4140099,1431066,89213708,13190,2170330,3975950,3571275,19319746,52827047,36904134,9996232,3344190,341272,22640547,142745000,5902847,159243,22546,102826,12418836,6277420,7489000,64717,3707513,2732221,17517,5127097,1932154,262691,6614713,31841588,5096478,38330364,15948501,42198,124296,9067,103776,16657956,364722,8336605,6441865,10293048,4397563,20981775,51094870,641845,3140840,93793,1155083,7135265,48114158,3166215,9556,8110,14082870,50754000,1293970,56422072,235825000,2992250,17615037,127058,16876703,59512619,100600,9213078,6701547,8562259
1985,11938204,2964762,22431507,39521,44593,9961993,61785,30216284,3335935,63024,15758000,7564985,6666447,234579,419428,90764180,256260,9975000,9858308,164918,4278502,56898,464264,6179460,4392135,1069585,135274083,13951,224440,8960547,7727908,4750832,311668,7714894,10070806,25842116,19460,2542170,5095400,133800,12257238,1051040000,29951194,355337,29881222,2054308,2736719,9918204,4701417,10097910,152711,703694,10337118,5113691,425608,73207,6464229,9066100,49258726,4936803,352116,2003942,1528781,699077,40652146,45328,711770,4902206,56654703,177024,827107,755791,4662900,77684873,12783617,29151,9934300,53200,99953,116576,7884034,5470716,872163,770439,6337275,4281167,5456200,10648713,241405,784360012,164982452,47347197,15555807,3538082,64277,4233000,56593071,2335510,120837000,2900055,15665594,19877078,63989,18877226,40805744,1682000,1735278,3990300,3687889,2578873,2651992,1526132,2145756,3873781,27286,3544543,366706,283490,10063493,7268271,15598924,189540,7831888,336452,38331,1780033,1020528,75983486,85641,2867878,28836,1921889,605398,22499111,12764385,37977087,1198149,8501,16858315,14491632,154450,3247100,3734343,6915994,83562776,1981536,28719,4152516,1498413,92191505,13534,2219200,4081022,3676206,19772871,54275836,37201885,10023613,3377000,370886,22732999,143858000,6146884,159995,22794,104926,13118998,6471329,7504000,65244,3805304,2735957,19127,5161768,1941641,270787,6648628,32678876,5220748,38469512,16176282,41874,126246,11066,104503,17210182,368636,8350386,6470365,10648633,4537820,21633799,52026901,657061,3252997,93896,1170296,7329590,49133928,3244024,9974,8211,14559357,50917000,1366165,56550268,237924000,3011519,18061283,129989,17319513,60896732,100760,9572170,6923148,8877489
1986,11736177,3022635,23102386,41114,46520,10320116,61754,30698964,3392264,62645,16018400,7569794,6778631,239020,433478,93187593,257117,10043000,9861823,169569,4404504,57382,478683,6309129,4435925,1110948,138108915,14646,230917,8958171,7930689,4886745,316613,7960952,10395481,26100278,20426,2597765,5247281,135242,12445833,1066790000,30572479,365765,30683877,2112359,2810245,10307268,4721446,10183894,152662,712335,10342227,5120534,454359,72531,6596967,9292481,50602360,5002339,369024,2064803,1540190,723599,41965696,45812,718642,4918154,56976126,181807,850052,791141,4704500,77720436,13164839,29096,9967213,53500,100183,119228,8104921,5629420,892530,764447,6478537,4410270,5524600,10630564,243180,801975250,168374287,49260263,15909764,3539690,65200,4299000,56596155,2358165,121482000,3015294,15852524,20622560,65504,19156791,41213674,1717000,1832302,4066500,3794204,2599892,2660873,1561687,2158434,3994601,27552,3578914,368355,295597,10352117,7666390,16043736,196262,7952863,342121,40212,1829678,1028360,77599105,87904,2893584,29050,1976313,607711,22980334,12808566,38698484,1239923,8679,17239677,14572278,157350,3246300,3823133,7118885,85766396,1987538,32377,4167354,1561180,95215375,13835,2268500,4186499,3783074,20230385,55755346,37456119,10032734,3409554,397739,22836841,144894000,6443748,160552,23046,107429,13794167,6670665,7536000,65652,3916685,2733373,21028,5193838,1965964,278834,6736751,33495956,5328167,38584624,16408861,41479,128448,14561,105217,17757494,374133,8369829,6504124,11004273,4687328,22296282,52980105,671747,3363040,94081,1183382,7517854,50128548,3324462,10365,8341,15070319,51097000,1446386,56681396,240133000,3030651,18515579,132988,17772000,62293859,100842,9941102,7146965,9200150
1987,11604538,3083605,23774287,42741,48459,10689247,61713,31184411,3451947,61838,16263900,7574586,6893486,243265,448981,95671159,258012,10111000,9870234,174333,4535262,57849,494313,6442824,4479516,1154904,140891606,15390,237565,8971359,8140080,5027143,321137,8198082,10731058,26446601,21539,2646836,5412844,136762,12642917,1084035000,31195417,376647,31528702,2171319,2884856,10698188,4739745,10286645,151456,723384,10347318,5127024,490337,71842,6729930,9522362,51991696,5067531,382977,2127421,1552221,748634,43329238,46340,721776,4932123,57302642,186588,873871,831011,4743500,77839920,13552021,29114,10000595,54100,99425,121923,8332446,5801323,912755,757451,6618742,4542218,5580500,10612741,245859,819682095,171702756,51193782,16257072,3540057,66476,4369000,56601931,2375400,122069000,3131800,16039253,21382111,67244,19431992,41621690,1753000,1938916,4144600,3905530,2626583,2667957,1596395,2153312,4109717,27835,3616367,370750,308181,10647753,8141140,16522004,203024,8062216,344485,42168,1879756,1036082,79200081,89985,2918487,29156,2033351,608144,23447256,12786353,39404350,1286796,8868,17623697,14665037,160500,3274400,3909672,7328934,88048029,1992278,36371,4186905,1619871,98285762,14121,2318259,4292575,3891725,20691285,57263835,37668045,10030031,3441850,422154,22949430,145908000,6779981,160962,23297,110259,14445663,6875746,7558000,68499,4038154,2774789,23157,5222840,1989776,286871,6862267,34297727,5419808,38684815,16643956,41041,130868,19274,105905,18303430,381033,8397804,6545106,11360848,4843997,22971208,53945872,686475,3471738,94318,1194532,7700733,51100930,3407310,10717,8481,15612754,51293000,1533526,56802050,242289000,3049581,18976411,136075,18232733,63701974,100901,10322044,7372835,9527202
1988,11618008,3142336,24443472,44346,50433,11068051,61758,31668939,3504667,61072,16532200,7585317,7010027,247451,465198,98186350,258970,10140000,9901664,179023,4672844,58347,509532,6580318,4509462,1200073,143627505,16155,244405,8981446,8356313,5168703,325744,8435909,11075423,26791747,22775,2693974,5589624,138250,12847712,1101630000,31822527,387964,32443784,2231462,2960932,11094740,4755207,10397519,149254,736476,10355276,5129516,528993,71212,6863438,9755576,53399243,5133273,394973,2185607,1561900,773774,44757205,46833,722924,4946481,57627106,191260,898472,873440,4790700,78144619,13947047,29164,10036983,54800,98126,124674,8566331,5982484,933046,750641,6758222,4677023,5627600,10596487,249740,837468938,174975953,53077312,16612319,3524949,67927,4442000,56629288,2389415,122578000,3256552,16205998,22153685,69087,19708316,42031247,1791000,2034850,4218400,4020817,2653434,2684682,1630993,2134105,4220451,28135,3655049,373450,320774,10952396,8636686,17022470,209787,8171525,347325,44092,1930427,1043239,80788725,91984,2940177,29232,2089709,607413,23903592,12758003,40085653,1336545,9058,18020755,14760094,163650,3283400,3995529,7548429,90395278,1995508,40294,4209488,1678119,101389603,14400,2368556,4399320,4001678,21153462,58794999,37824487,10019610,3473898,443611,23057662,146857000,7088194,161369,23548,113288,15070082,7086624,7572000,68755,4156636,2846108,25334,5250596,1995196,294976,7005226,35100905,5485288,38766939,16878186,40633,133364,24374,106533,18867559,388877,8436489,6593386,11719064,5001172,23670807,54891520,701812,3577469,94592,1204150,7880333,52053764,3493892,11091,8637,16180129,51521000,1627068,56928327,244499000,3068714,19443890,139319,18698850,65120432,100952,10730864,7598270,9849129
1989,11868873,3227943,25106192,45894,52452,11454784,62007,32148137,3536473,61033,16814400,7619567,7126877,251738,481081,100695496,259961,10170000,9937697,183471,4820020,58841,522173,6721117,4507819,1244484,146328305,16867,251456,8876972,8579818,5307069,331180,8691331,11425807,27276781,24028,2745735,5773930,139580,13058758,1118650000,32457497,399638,33464767,2293161,3039015,11502453,4767260,10503967,146937,751043,10361068,5132594,563855,70722,6997877,9991870,54788680,5200608,406620,2231144,1568131,798498,46272308,47159,724602,4964371,57940199,195728,923714,915631,4803300,78751283,14353409,29187,10089498,55300,96932,127525,8805995,6167480,953782,745581,6897755,4814696,5686200,10481719,252852,855334675,178209147,54822005,16994942,3511009,69263,4518000,56671781,2403464,123069000,3399333,16249500,22935088,70849,19993757,42449038,1827000,2092786,4307500,4138845,2666955,2726438,1666564,2106429,4328935,28449,3684255,377100,332783,11268653,9075568,17528961,216502,8296919,350722,45827,1981902,1051260,82368930,94062,2957047,29309,2141005,606571,24355624,12805950,40731439,1386011,9275,18445021,14848907,166898,3299200,4082958,7780242,92788039,1996863,43542,4226901,1741155,104512874,14704,2419424,4506996,4112396,21614193,60340768,37961529,10005000,3505650,461688,23161458,147721000,7276983,161935,23833,116313,15666289,7303511,7581000,69167,4254434,2930901,27280,5275942,1996351,303272,7133263,35930056,5511582,38827764,17106752,40354,135787,28723,107071,19476653,397082,8492964,6646912,12080439,5149872,24411744,55772169,718736,3678567,94848,1212858,8060211,52992479,3585867,11550,8787,16763041,51773000,1725676,57076711,246819000,3088603,19918119,142801,19166474,66550231,101041,11189185,7820199,10153852
1990,12412311,3286542,25758872,47351,54508,11848385,62533,32618648,3538164,62152,17065100,7677850,7175200,256227,495927,103171957,260933,10189348,9967379,187554,4978489,59326,530801,6864839,4463422,1286756,149003225,17489,258714,8718289,8811033,5438959,337953,8975597,11780086,27691138,25307,2806740,5963250,140677,13274617,1135185000,33102569,411598,34612023,2356740,3119436,11924873,4777368,10596986,145400,766616,10333355,5140939,590393,70422,7133491,10230931,56134478,5270074,419188,2258649,1569174,822423,47887864,47276,728575,4986431,58235716,199906,949493,955595,4802000,79433029,14773274,29149,10196792,55600,96328,130480,9050115,6352282,975265,743306,7037915,4955302,5704500,10373988,254826,873277799,181413398,56366212,17419113,3513974,70292,4660000,56719240,2419901,123478000,3565888,16348000,23724574,72394,20293057,42869283,1862000,2095350,4391200,4258471,2663151,2803032,1703757,2075917,4436663,28790,3697838,381850,343816,11598647,9404499,18029824,223159,8449915,354170,47265,2034347,1058775,83943135,96304,2969097,29433,2184139,606372,24807461,12987292,41335188,1432899,9506,18905480,14951510,170899,3329800,4173435,8026592,95212454,1996218,45752,4241473,1812158,107647918,15063,2470946,4615843,4223413,22071433,61895169,38110782,9983218,3537000,476275,23201835,147969407,7288883,162797,24124,119211,16233786,7526306,7586000,69507,4319763,3047132,28814,5299187,1998161,311869,7225089,36800507,5492620,38867322,17325769,40260,138019,31522,107489,20147592,405169,8558835,6715519,12446168,5283811,25203848,56558196,737814,3774310,95069,1221121,8242509,53921758,3683978,12115,8910,17354395,51891400,1828437,57247586,249623000,3109598,20510000,146575,19632665,67988855,103963,11709987,8036849,10432409
1991,13299016,3266790,26400468,48682,56666,12248901,63363,33079002,3505249,64623,17284000,7754891,7271300,261007,509762,105599125,261912,10194050,10004486,191136,5149496,59021,534637,7011456,4369320,1326321,151648007,18007,266208,8632367,9050086,5564923,346229,9289298,12137912,28037420,26540,2878507,6157085,141469,13495255,1150780000,33758328,423873,35908240,2422312,3202083,12362404,4689022,10673534,144403,783121,10308578,5154298,606843,70377,7270413,10472476,57424552,5342190,432844,2266356,1561314,845267,49609976,47123,735398,5013740,58559309,203716,975785,992671,4835900,80013896,15207360,29021,10319927,55500,96462,133553,9296814,6534936,997522,744477,7178611,5098594,5752000,10373400,257797,891273202,184591897,57679025,17889457,3534235,70928,4949000,56758521,2439329,123964000,3760493,16451711,24521714,73692,20609151,43295704,1898000,2031297,4463600,4379234,2650581,2921700,1742534,2040141,4544245,29166,3704134,387000,353623,11942809,9600361,18519941,229743,8635528,363845,48403,2087914,1070266,85512621,98779,2975523,29629,2217918,607105,25260407,13328029,41890192,1476399,9766,19405506,15069798,175362,3495100,4267570,8288739,97667632,1993304,46662,4261732,1893761,110778655,15442,2523115,4725543,4334348,22522383,63454785,38246193,9960235,3562110,487354,23001155,148394216,7083928,164000,24454,121949,16772695,7755503,7595636,70439,4348663,3135083,29852,5303294,1999429,320781,7274026,37718952,5420179,38966376,17535732,40381,140001,32441,107772,20891442,413009,8617375,6799978,12815400,5400636,26056605,57232471,759526,3862998,95243,1229108,8427851,54840595,3789188,12815,9014,17953534,52000500,1937159,57424897,252981000,3131657,20952000,150718,20096314,69436956,104807,12302127,8246662,10681008
1992,14485543,3247039,27028330,49900,58882,12657361,64459,33529320,3442820,68240,17495000,7840709,7382050,266028,523082,107983708,262890,10216470,10045158,194324,5331805,58595,534525,7160917,4233673,1363541,154259382,18443,273888,8540164,9297110,5685569,355763,9623899,12499499,28371264,27784,2959236,6356741,142006,13719818,1164970000,34422568,436454,37333917,2489945,3286525,12812428,4575818,10736386,143912,800610,10319123,5171370,615050,70546,7408339,10716131,58666812,5416327,447269,2257593,1533091,866995,51423591,46746,744470,5041992,58851216,207238,1002573,1027476,4873500,80624598,15653345,28844,10399061,55300,97161,136693,9544055,6716032,1020353,748596,7319491,5244677,5800500,10369341,261057,909307018,187739786,58780376,18402740,3558430,71262,5123000,56797087,2461047,124425000,3977667,16439095,25326080,74767,20937407,43747962,1932000,..,4515400,4500346,2614338,3076133,1782284,2001612,4650896,29552,3700114,392175,362308,12301338,9685974,19002660,236271,8850334,367618,49242,2142645,1084441,87075136,101386,2977130,29859,2243495,608516,25711410,13805999,42401686,1516951,10030,19938322,15184166,179799,3531700,4364514,8566773,100161708,1988659,46473,4286401,1983272,113911126,15859,2575949,4836216,4445019,22966822,65020124,38363667,9952494,3585176,495403,22794284,148538197,6702239,165490,24830,124574,17282686,7990090,7646424,70763,4347727,3230698,30458,5305016,1996498,330004,7295380,38672611,5305449,39157685,17736827,40691,141758,31816,107941,21696240,420658,8668067,6875364,13187669,5502490,26961204,57811025,783204,3945902,95398,1236685,8613855,55748946,3899843,13639,9110,18561668,52150400,2052892,57580402,256514000,3154459,21449000,155176,20557694,70883488,105712,12954157,8451346,10900511
1993,15816601,3227287,27635517,51025,60974,13075044,65777,33970103,3363111,72495,17667000,7905633,7494800,271065,536212,110350641,263869,10239050,10084475,197625,5521761,58910,532590,7312857,4078940,1399110,156849086,18783,281684,8472313,9552473,5798054,366057,9970727,12864091,28684764,29068,3046148,6563925,142407,13944934,1178440000,35091272,449270,38815835,2559880,3372298,13271638,4600463,10789312,144299,818750,10329855,5188628,618504,70818,7546467,10961460,59880656,5490478,462637,2238631,1494128,887706,53295556,46277,754962,5066447,59106758,210644,1029769,1060861,4911100,81156363,16106756,28680,10460415,55200,98234,139813,9790619,6897171,1043421,754141,7460684,5394416,5901000,10357523,263725,927403866,190851184,59723761,18955087,3576261,71431,5261000,56831821,2484583,124829000,4201559,16380672,26136217,75711,21265832,44194628,1965000,..,4516700,4619946,2563290,3246129,1822237,1976701,4755134,29987,3682613,397475,370195,12675469,9710335,19484901,242596,9087173,371308,49828,2198538,1097374,88625440,103901,2973114,30145,2263196,610170,26155204,14370950,42889992,1555098,10287,20489973,15290368,184496,3572200,4462496,8860297,102700751,1984024,45763,4311991,2072106,117086680,16285,2629584,4949053,4555518,23408135,66593904,38461408,9964675,3615497,501479,22763280,148458777,6263758,167117,25208,127066,17763297,8226749,7699307,72253,4328965,3313471,30765,5325305,1991746,339501,7315864,39633754,5185712,39361262,17924827,41141,143402,30194,108036,22527837,428028,8718561,6938265,13565074,5593317,27887204,58337773,806867,4029044,95556,1243605,8795934,56653808,4010789,14526,9194,19175986,52179200,2173135,57718614,259919000,3177734,21942000,159743,21016900,72300308,106578,13634082,8656484,11092775
1994,17075728,3207536,28213777,52099,62676,13503753,67201,34402669,3283664,76705,17855000,7936118,7596550,275849,549590,112737684,264893,10226955,10115603,201679,5714215,59320,531905,7466792,3936527,1434061,159432717,19068,289452,8443591,9816584,5898964,376409,10317901,13230978,29000663,30521,3135017,6781057,142867,14166346,1191835000,35758978,462280,40252973,2632345,3458829,13735438,4652024,10838461,144630,837104,10333587,5206180,622364,71044,7683707,11207999,61095804,5561916,479099,2218436,1462514,907622,55180993,45848,765607,5088333,59327200,214196,1057252,1094219,4836076,81438348,16561677,28605,10512922,55500,99345,142806,10037522,7081119,1066345,758896,7602318,5548969,6035400,10343355,266021,945601828,193917458,60590608,19539348,3590386,71662,5399000,56843400,2509042,125178000,4410357,16145766,26950508,76668,21577979,44641540,1997000,..,4515100,4735837,2520742,3403359,1861323,1986491,4854871,30415,3657144,402925,377805,13066544,9745695,19977508,248582,9334893,374797,50214,2255520,1112846,90156396,106030,2964277,30436,2280475,611389,26584473,14948050,43383421,1591826,10496,21040899,15382838,189482,3620000,4559010,9168316,105293701,1981713,45361,4336613,2148416,120362764,16735,2684117,5065664,4666096,23851405,68180846,38542652,9991525,3649237,507044,22730211,148407912,5936253,168689,25588,129426,18214475,8461066,7734639,74205,4309780,3419048,30950,5346331,1989443,349273,7372592,40564061,5111371,39549108,18094474,41618,145080,28482,108059,23338465,435099,8780745,6993795,13950486,5679169,28792649,58875275,827828,4120615,95739,1249527,8967916,57564209,4115105,15399,9259,19793541,51921400,2294377,57865745,263126000,3201149,22377000,164128,21474553,73651220,107318,14297617,8869745,11261752
1995,18110662,3187784,28757788,53158,63860,13945205,68672,34828168,3217349,80324,18072000,7948278,7684850,280179,563698,115169933,265955,10193831,10136811,206962,5905552,59746,534629,7622334,3829049,1469173,162019889,19307,297112,8406067,10089880,5987044,386288,10656145,13599984,29302311,32161,3222662,7010159,143480,14380864,1204855000,36421438,475394,41576239,2707532,3545524,14199759,4620030,10888246,145139,855391,10327253,5233373,630385,71105,7819239,11455205,62334025,5628602,496768,2204227,1436634,926836,57047906,45625,775428,5107790,59541904,218064,1084951,1128577,4657722,81678051,17014058,28688,10562153,55800,100286,145559,10286786,7269631,1088850,761298,7744509,5709010,6156100,10328965,267468,963922586,196934257,61442658,20149342,3608841,72133,5545000,56844303,2533705,125472000,4588842,15816243,27768297,77716,21862300,45092991,2029000,1605907,4560400,4846477,2485056,3528379,1898598,2044657,4948796,30884,3629102,408625,385517,13475403,9844418,20487604,254144,9585660,377419,50454,2313630,1122457,91663290,107535,2952307,30731,2298017,611712,26994255,15483277,43901598,1627866,10626,21576074,15459006,193816,3673400,4652185,9490289,107948339,1983259,45872,4359184,2204267,123776835,17158,2739667,5187063,4776838,24299168,69784087,38594998,10026176,3683103,513447,22684270,148375787,5836490,170050,25925,131679,18638790,8690155,7625357,75304,4303953,3524506,31164,5361999,1989872,359276,7491647,41435761,5118084,39724050,18242917,42077,146871,27320,108043,24094741,441851,8826939,7040687,14345491,5764806,29649128,59467272,844333,4226293,95972,1254200,9125400,58486453,4207841,16221,9298,20413157,51512800,2415099,58019030,266278000,3224275,22785000,168161,21931087,74910462,107818,14913313,9096608,11410721
1996,18853444,3168033,29266415,54209,64363,14400722,70176,35246376,3168213,83211,18311000,7959017,7763000,283980,578661,117649927,267047,10159569,10156637,213660,6094272,60129,541471,7779268,3764419,1504724,164614682,19508,304620,8362826,10372734,6060110,395533,10982919,13970812,29610218,34065,3308235,7250974,144348,14587367,1217550000,37076387,488625,42757239,2785815,3632361,14665125,4557097,10939285,146306,873426,10315241,5263074,643649,70933,7952766,11703169,63601632,5689943,515844,2196467,1415594,945506,58883531,45624,784389,5124573,59753095,222323,1112944,1164091,4491699,81914831,17462504,28970,10608800,55900,101003,148061,10536942,7463782,1110835,760801,7887312,5874814,6435500,10311238,268916,982365248,199901231,62294919,20783073,3637510,72884,5692000,56860281,2558631,125757000,4732848,15578227,28589456,78904,22113428,45524681,2059000,1626858,4628400,4951189,2457222,3610663,1934294,2160480,5036173,31354,3601613,414225,393376,13902697,10022783,21017619,259178,9837575,379905,50523,2372900,1133996,93147045,108311,2946401,31001,2316571,611003,27383472,15960445,44452203,1663378,10677,22090352,15530498,197564,3732000,4741571,9826600,110668784,1989441,47518,4381336,2236652,127349293,17599,2796291,5314258,4887638,24753825,71401743,38624370,10063945,3724655,522531,22619004,148160129,6013112,171165,26253,133799,19033843,8912872,7617794,76417,4312660,3670704,31434,5373361,1988628,369517,7682683,42241007,5221925,39889852,18367290,42472,148837,26854,107983,24782384,448207,8840998,7071850,14754148,5851354,30444523,60130190,855358,4348808,96267,1257547,9267335,59423278,4287337,16930,9317,21032817,51057800,2539121,58166950,269394000,3247383,23225000,171721,22385650,76068739,108095,15469274,9339740,11541215
1997,19357126,3148281,29742980,55227,64318,14871572,71707,35657438,3133081,85450,18517000,7968041,7838250,287363,594927,120160571,268183,10117433,10181245,221575,6281644,60497,551713,7937453,3736070,1540424,167209046,19660,311962,8312068,10665552,6122130,404248,11298594,14344444,29905948,36155,3392432,7503494,145387,14786227,1230075000,37723803,501955,43827191,2867283,3718952,15130674,4534920,10989730,146956,891190,10304131,5284991,660858,70592,8084407,11951457,64892269,5746288,536459,2195192,1399535,963416,60697443,45789,792736,5139835,59964841,226854,1141332,1200522,4349913,82034771,17908977,29404,10661259,56000,101567,150303,10788362,7662071,1132505,757975,8030721,6045704,6489300,10290486,271128,1000900028,202826444,63136309,21439579,3674171,73851,5836000,56890372,2583914,126057000,4848536,15334405,29415660,80188,22335263,45953580,2086000,1710257,4696400,5050308,2432851,3658425,1968054,2326210,5118008,31830,3575137,419450,401353,14347860,10264906,21562790,263836,10094363,382791,50453,2433567,1148284,94611008,108473,2935524,31268,2335744,609520,27754573,16397175,45027223,1698029,10643,22584772,15610650,201418,3781300,4827658,10178196,113457661,1996869,50052,4405157,2249759,131057432,18016,2853907,5446633,4998096,25210957,73030879,38649660,10108977,3759430,535320,22553978,147915361,6419898,172065,26563,135831,19407138,9130876,7596501,77319,4335295,3796038,31731,5383291,1985956,379998,7936122,42987456,5411653,40057389,18470897,42857,150920,26910,107895,25413912,454165,8846062,7088906,15175308,5938404,31192853,60846588,861870,4485945,96621,1259838,9395119,60372571,4355125,17566,9328,21655392,50594600,2671361,58316954,272657000,3270158,23667000,174917,22837743,77133212,108357,15975676,9597610,11653254
